Country/Region,Cars,Commercial Vehicles,Total,Change,Year
ARGENTINA,304 783,305 942,610 725,14%,2023
AUSTRIA,102 291,11 900,114 191,-6%,2023
BELGIUM,285 159,46 944,332 103,16%,2023
BRAZIL,1 781 612,543 226,2 324 838,-2%,2023
CANADA,376 888,1 176 138,1 553 026,26%,2023
CHINA,26 123 757,4 037 209,30 160 966,12%,2023
CZECH REPUBLIC,1 397 816,6 685,1 404 501,15%,2023
FINLAND,30 191,,30 191,-59%,2023
FRANCE,1 026 690,478 386,1 505 076,9%,2023
GERMANY,4 109 371,,4 109 371,18%,2023
HUNGARY,507 225,,507 225,15%,2023
INDIA,4 783 628,1 067 879,5 851 507,7%,2023
INDONESIA,1 180 355,215 362,1 395 717,-5%,2023
ITALY,541 953,338 132,880 085,11%,2023
JAPAN,7 765 428,1 232 012,8 997 440,15%,2023
KAZAKHSTAN,134 054,12 935,146 989,30%,2023
MALAYSIA,724 891,49 709,774 600,10%,2023
MOROCCO,471 950,63 875,535 825,15%,2023
MEXICO,903 753,3 098 294,4 002 047,14%,2023
POLAND,299 300,313 582,612 882,27%,2023
PORTUGAL,243 201,75 030,318 231,-1%,2023
ROMANIA,513 050,,513 050,1%,2023
RUSSIA,526 439,203 425,729 864,20%,2023
SLOVAKIA,1 080 000,,1 080 000,10%,2023
SLOVENIA,60 881,,60 881,-11%,2023
SOUTH AFRICA,336 980,296 357,633 337,14%,2023
SOUTH KOREA,3 908 747,334 850,4 243 597,13%,2023
SPAIN,1 907 050,544 171,2 451 221,10%,2023
TAIWAN,221 329,64 633,285 962,10%,2023
THAILAND,580 857,1 260 806,1 841 663,-2%,2023
TURKEY,952 667,515 726,1 468 393,9%,2023
UKRAINE,1 993,,1 993,34%,2023
UNITED KINGDOM,905 117,120 357,1 025 474,17%,2023
USA,1 745 171,8 866 384,10 611 555,6%,2023
UZBEKISTAN,421 414,4 462,425 876,25%,2023
OTHERS,877 579,1 128 618,2 006 197,,2023
ARGENTINA,257505,279388,536893,24%,2022
AUSTRIA,107500,0,107500,-21%,2022
BELGIUM,232100,44454,276554,6%,2022
BRAZIL,1824833,544936,2369769,5%,2022
CANADA,289371,939364,1228735,10%,2022
CHINA,23836083,3184532,27020615,3%,2022
CZECH REPUBLIC,1217787,6669,1224456,10%,2022
FINLAND,73044,0,73044,-15%,2022
FRANCE,1010466,372707,1383173,2%,2022
GERMANY,3480357,197463,3677820,11%,2022
HUNGARY,441729,0,441729,6%,2022
INDIA,4439039,1017818,5456857,24%,2022
INDONESIA,1214250,255896,1470146,31%,2022
ITALY,473194,323200,796394,0%,2022
JAPAN,6566356,1269163,7835519,0%,2022
KAZAKHSTAN,103345,9195,112540,22%,2022
MALAYSIA,650190,52085,702275,46%,2022
MOROCCO,404742,60122,464864,15%,2022
MEXICO,658001,2851071,3509072,10%,2022
POLAND,255100,228740,483840,10%,2022
PORTUGAL,256018,66386,322404,11%,2022
ROMANIA,509465,0,509465,21%,2022
RUSSIA,448897,159563,608460,-61%,2022
SERBIA,4358,140,4498,-79%,2022
SLOVAKIA,1000000,0,1000000,-3%,2022
SLOVENIA,68130,0,68130,-29%,2022
SOUTH AFRICA,309423,246466,555889,11%,2022
SOUTH KOREA,3438355,318694,3757049,9%,2022
SPAIN,1785432,434030,2219462,6%,2022
TAIWAN,191409,69854,261263,-2%,2022
THAILAND,594057,1289458,1883515,12%,2022
TURKEY,810889,541759,1352648,6%,2022
UKRAINE,1490,0,1490,-82%,2022
UNITED KINGDOM,775014,101600,876614,-6%,2022
USA,1751736,8308603,10060339,10%,2022
UZBEKISTAN,328118,5451,333569,38%,2022
OTHERS,1790867,239271,2030138,,2022
ARGENTINA,184106,250647,434753,69%,2021
AUSTRIA,124700,12000,136700,9%,2021
BELGIUM,224180,36858,261038,-2%,2021
BRAZIL,1707851,540402,2248253,12%,2021
CANADA,288 235,826767,1115002,-19%,2021
CHINA,21407962,4674258,26082220,3%,2021
CZECH REPUBLIC,1 105 223,6209,1111432,-4%,2021
EGYPT,23754,,23754,0%,2021
FINLAND,93172,,93172,8%,2021
FRANCE,917907,433401,1351308,3%,2021
