,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024
World,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
        Total petroleum and other liquids (Mb/d),,,,,,,,63987.8,60602,58100.1,57929.3,59563.45794,59156.12543,61534.95768,62101.27044,64398.73171,65524.91126,66437.18391,66338.8511,66551.97017,66337.04619,68404.80921,69738.1987,71406.80328,73756.47914,74754.92657,73443.88635,75621.9029,75764.24188,75599.86189,78497.80128,83153.50174,84672.88548,85250.20133,85474.13004,86767.47017,85716.22519,87317.27823,88481.56412,90769.35776,91305.82012,93899.47441,96659.23578,97108.92,97786.58439,100415.8247,100161.5546,93798.40647,95682.74081,100140.0895,101820.3917,
"            Crude oil, NGPL, and other liquids (Mb/d)",,,,,,,,63092.9,59785.5,57242.9,57123.7,58613.7,58186.9,60769.573,61257.573,63496.754,64633.954,65482.054,65316.436,65405.968,65570.71742,67636.84757,68963.8124,70569.74043,72907.0764,73868.78137,72557.50553,74673.97667,74860.92681,74643.30025,77523.80676,81014.48109,82560.42387,83095.31482,83321.14063,84638.5113,83621.37244,85154.73524,86311.29113,88595.27057,89113.72874,91671.57119,94383.14848,94826.63236,95452.9707,98047.28477,97814.97575,91691.19374,93419.87336,97830.65042,99486.53155,
                Crude oil including lease condensate (Mb/d),50359.734,50376.905,47570.995,51743.766,53881.362,54259.53,56617.534,59557.68724,55899.59203,53453.19682,53249.76199,54498.53904,53965.43472,56326.14124,56649.39526,58696.60209,59802.71265,60497.9124,60128.17914,60100.6977,58754.46766,60577.42822,61568.59388,62841.40156,65001.26454,65921.77018,64359.98553,66358.85128,66326.61459,65772.88455,69257.73057,72077.98249,74027.85679,74233.60125,74264.11817,74469.65227,73145.72246,74407.78496,75084.26675,76683.47228,76767.80062,78611.90046,80965.42423,81022.57698,81202.78312,82930.42156,82123.8627,75986.44104,77177.04123,80820.48201,81795.75253,
                NGPL (Mb/d),,,,,,,,3446.28975,3630.69,3631.8,3643.3,3872.7,3933,4162.9,4284.5,4498.4,4512.4,4644.9,4816.557,4847.6127,6113.332055,6221.95303,6457.514644,6759.08991,6886.417907,6894.876038,7106.10014,7196.929951,7366.641562,7562.908726,6925.111455,7349.254426,6909.86617,7028.920096,7042.141485,8191.988077,8350.34626,8050.647305,8358.17598,8870.611047,9031.474242,9544.027103,9887.71414,10184.70757,10605.95435,11197.55825,11713.79989,11913.23885,12270.0754,12826.3136,13181.20149,
                Other liquids (Mb/d),,,,,,,,89,105,157,231,242,288.6,280.8,323.9,303,320.2,341.1,371.22,457.5,702.9177096,837.4663151,937.7038685,969.2489672,1019.393951,1052.135148,1091.419858,1118.19544,1167.67066,1307.50697,1340.96474,1587.244178,1622.700915,1832.793474,2014.880978,1976.870951,2125.303718,2696.302984,2868.848395,3041.187238,3314.453871,3515.643619,3530.01011,3619.347806,3644.23322,3919.304963,3977.313165,3791.513858,3972.756729,4183.854816,4509.577523,
            Refinery processing gain (Mb/d),,,,,,,,894.7,816.3,856,804.4,948.9,967.800375,764.6491062,841.0735499,895.8889917,882.3639561,952.4592998,1022.430215,1143.310902,1234.622088,1294.261644,1411.686301,1527.062842,1563.40274,1646.045205,1704.380822,1843.926289,1838.503075,1908.817133,1986.466985,2139.02065,2112.461603,2154.886507,2152.989408,2128.958871,2094.852751,2162.542982,2170.272993,2174.087195,2192.091381,2227.903222,2276.087295,2282.28764,2333.613692,2368.539946,2346.578868,2107.212723,2262.867449,2309.439026,2333.860145,
Afghanistan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
    Production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
