"Country","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999"
"ARGENTINA",610725,536893,434753,257187,314787,466649,472158,472776,533683,617329,791007,764495,828771,716540,512924,596745,544647,432101,319755,260402,169176,159401,235558,339632,304809
"AUSTRALIA",0,0,0,0,0,0,98632,161294,173009,180311,215926,226502,224193,244007,227283,329556,334617,330900,394713,411406,413261,343872,319375,347122,302925
"AUSTRIA",114191,107500,136700,104544,179400,164900,99880,108000,125500,152000,166428,143089,152505,104997,72334,151277,228066,274932,253279,248718,139656,152619,155403,141026,139331
"BELGIUM",332103,276554,261038,267460,285797,308493,379140,399427,409340,516831,503504,538848,595084,555302,537354,724498,834403,918056,926515,900273,909383,1057189,1187257,1033294,1017061
"BRAZIL",2324838,2369769,2248253,2014055,2944988,2879809,2699672,2156356,2429463,3146386,3712380,3402508,3407861,3381728,3182923,3215976,2977150,2611034,2530840,2317227,1827791,1791530,1817237,1681517,1350828
"CANADA",1553026,1228735,1115002,1376623,1916585,2020840,2199789,2370271,2283474,2394154,2379834,2463364,2135121,2068189,1490482,2082241,2578790,2572292,2687892,2711536,2552862,2629437,2532742,2961636,3058813
"CHINA",30160966,27020615,26082220,25225242,25720665,27809196,29015434,28118794,24503326,23731600,22116825,19271808,18418876,18264761,13790994,9299180,8882456,7188708,5717619,5234496,4443686,3286804,2334440,2069069,1829953
"COLOMBIA",0,0,0,0,0,72800,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"CZECH REPUBLIC",1404501,1224456,1111432,1159151,1433963,1345041,1419993,1349896,1303603,1251220,1132931,1178995,1199845,1076384,983243,946567,938648,854907,602237,448360,441699,447088,465268,455492,376261
"EGYPT",0,0,23754,23754,18500,71600,36640,36230,36000,42515,30804,56480,81731,116683,92339,119860,104473,91518,64549,49335,50012,45173,56097,59765,76048
"FINLAND",30191,73044,93172,86270,114785,112104,91598,55280,69053,45035,7703,8688,2631,6665,10971,17895,24303,32770,21644,10510,19658,41461,42320,38926,34375
"FRANCE",1505076,1383173,1351308,1316371,2202460,2270000,2227000,2082000,1970000,1821464,1740220,1967765,2242928,2229421,2047693,2568978,3015854,3169219,3549008,3665990,3620066,3601870,3628418,3348361,3180193
"GERMANY",4109371,3677820,3308692,3742454,4661328,5120409,5645581,6062562,6033164,5907548,5718222,5649260,6146948,5905985,5209857,6045730,6213460,5819614,5757710,5569954,5506629,5469309,5691677,5526615,5687692
"HUNGARY",507225,441729,394302,406497,498158,430988,505400,472000,495370,437599,321287,217840,213531,211461,214543,346055,292027,190823,152015,122666,126116,141513,144313,137398,128186
"INDIA",5851507,5456857,4399112,3394446,4516017,5174645,4782896,4488965,4125744,3844857,3898425,4174713,3927411,3557073,2641550,2332328,2253729,2019808,1638674,1511157,1161523,894796,814611,801360,818193
"INDONESIA",1395717,1470146,1121967,691286,1286848,1343714,1216615,1177389,1098780,1298523,1206368,1052895,838388,702508,464816,600628,411638,297062,500710,408311,322044,299257,279187,292710,89007
"IRAN",0,0,0,880997,821060,1095526,1515396,1164710,982337,1090846,743680,1000089,1649311,1599454,1394075,1273781,997240,904500,1077190,788658,582099,452075,323216,277985,119419
"ITALY",880085,796394,795856,777165,915305,1060068,1142210,1103516,1014223,697864,658206,671768,790348,838186,843239,1023774,1284312,1211594,1038352,1142105,1321631,1427081,1579696,1738315,1701256
"JAPAN",8997440,7835519,7846955,8067557,9684298,9728528,9693746,9204590,9278238,9774665,9630181,9943077,8398630,9628920,7934057,11575644,11596327,11484233,10799659,10511518,10286218,10257315,9777191,10140796,9895476
"KAZAKHSTAN",146989,112540,92417,74831,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"MALAYSIA",774600,702275,481651,485186,571632,564800,460140,513445,614671,595134,601407,569620,533695,567715,489269,530810,441661,502973,563408,471975,344284,395380,358785,282830,254090
"MEXICO",4002047,3509072,3145653,3176600,3986794,4100525,4068415,3597462,3565469,3368010,3054849,3001814,2681050,2342282,1561052,2167944,2095245,2045518,1684238,1577159,1575447,1804670,1841008,1935527,1549925
"MOROCCO",535825,464864,403007,248430,394652,402085,376826,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"NETHERLANDS",0,0,0,0,0,0,157280,44430,44122,31428,29183,55639,73151,94132,76751,132494,138568,159454,180748,247503,215281,231291,238943,267319,307220
"OTHERS",2006197,2030138,1828944,819108,1108503,493784,758672,920162,832683,699142,643615,599642,491511,486785,407364,0,702789,531606,495491,311050,211753,168361,174149,190649,119650
"POLAND",612882,483840,439421,451382,649864,659646,689729,681837,660603,593504,590159,654756,838133,869474,878998,952840,792703,714600,613200,601000,322061,311132,347875,504972,574834
"PORTUGAL",318231,322404,289954,264236,345704,294366,175544,143096,156626,161509,154016,163561,192242,158729,126015,175155,176242,227325,221060,226728,239361,250832,239719,246724,252290
"ROMANIA",513050,509465,420755,438107,490412,476769,359250,359306,387177,391434,410997,337765,335232,350912,296498,245308,241712,213597,194802,122185,95247,79456,68761,78165,106897
"RUSSIA",729864,608460,1566317,1435335,1719784,1767674,1551293,1303989,1384399,1887193,2192245,2233103,1990155,1403244,725012,1790301,1660120,1508358,1354504,1386127,1278792,1219750,1250682,1205581,1169708
"SERBIA",0,4498,21263,23375,35115,56449,79912,80320,83630,103150,113878,11032,11023,15200,16738,11628,9903,11182,14179,15194,13903,11972,8979,12740,5269
"SLOVAKIA",1080000,1e+06,1e+06,985000,1100000,1090000,1001520,1040000,1000001,971160,975000,926555,639763,561933,461340,575776,571071,295391,218349,223542,281347,225718,182003,181783,126831
"SLOVENIA",60881,68130,95797,141714,199102,209378,189852,133702,133092,118591,93734,130949,174119,211340,212749,197843,198402,150320,177951,131646,118199,126661,116082,122949,118132
"SOUTH AFRICA",633337,555889,499087,447218,631983,610854,589951,599004,615658,566083,545913,539424,532545,472049,373923,562965,534490,587719,525227,455702,421335,404441,407036,357364,317367
"SOUTH KOREA",4243597,3757049,3462404,3506774,3950617,4028834,4114913,4228509,4555957,4524932,4521429,4561766,4657094,4271741,3512926,3826682,4086308,3840102,3699350,3469464,3177870,3147584,2946329,3114998,2843114
"SPAIN",2451221,2219462,2098133,2268185,2822355,2819565,2848335,2885922,2733201,2402978,2163338,1979179,2373329,2387900,2170078,2541644,2889703,2777435,2752500,3012174,3029826,2855239,2849888,3032874,2852389
"SUPPLEMENTARY",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,527634,0,0,0,0,0,0,0,0,0
"SWEDEN",0,0,0,0,0,0,226000,205374,188987,154174,161080,162814,188969,217084,156436,308299,366020,333168,339229,340270,323032,276193,289147,301343,250742
"TAIWAN",285962,261263,265320,245615,251304,253241,291563,309531,351085,379223,338720,339038,343296,303456,226356,182974,283039,303221,446345,430814,386686,333699,271704,372613,353000
"THAILAND",1841663,1883515,1685705,1427074,2013710,2167694,1988823,1944417,1915420,1880587,2457057,2429142,1457798,1644513,999378,1393742,1287346,1194426,1122712,927981,742062,584951,459418,411721,322761
"TURKEY",1468393,1352648,1276140,1297878,1461244,1550150,1695731,1485927,1358796,1170445,1125534,1072978,1189131,1094557,869605,1147110,1099413,987780,879452,823408,533354,346565,270685,430947,297862
"UK",0,0,0,0,1381405,1604328,1749385,1816622,1682156,1598879,1597872,1576945,1463999,1393463,1090139,1649515,1750253,1648388,1803109,1856539,1846429,1823018,1685238,1813894,1973519
"UKRAINE",1993,1490,8153,4952,7265,6623,9542,5264,8244,28751,50449,76281,104654,83133,69295,423127,402591,295260,215759,186890,107890,53773,31824,31255,19180
"UNITED KINGDOM",1025474,876614,932488,987044,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"USA",10611555,10060339,9167214,8822399,10880019,11314705,11189985,12198137,12100095,11660702,11066432,10335765,8661535,7743093,5709431,8672141,10780729,11263986,11946653,11989387,12114971,12279582,11424689,12799857,13024978
"UZBEKISTAN",425876,333569,241649,280080,271113,220667,140247,88152,185400,245660,246641,164180,179560,156880,117900,208038,184900,110000,95814,80729,46474,29554,41005,32273,44433
