"Country","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024"
"WORLD",NA,NA,NA,NA,NA,NA,NA,63987.8,60602,58100.1,57929.3,59563.45794,59156.12543,61534.95768,62101.27044,64398.73171,65524.91126,66437.18391,66338.8511,66551.97017,66337.04619,68404.80921,69738.1987,71406.80328,73756.47914,74754.92657,73443.88635,75621.9029,75764.24188,75599.86189,78497.80128,83153.50174,84672.88548,85250.20133,85474.13004,86767.47017,85716.22519,87317.27823,88481.56412,90769.35776,91305.82012,93899.47441,96659.23578,97108.92,97786.58439,100415.8247,100161.5546,93798.40647,95682.74081,100140.0895,101820.3917,NA
"AFGHANISTAN",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ALBANIA",NA,NA,NA,NA,NA,NA,NA,44,44,64,75,55,55,55,54,44,47,30,19,10,11,10,9,9,7.150391781,7.489890411,6.460230137,5.716,5.624,7.106,6.781,7.58,6.985,9.072,10.082,6.03453,5.382407123,10.86676562,15.56251849,16.84497057,17.01442118,20.56920932,20.21514384,22.80052388,17.05404,16.05469,18.05546,17.31385896,16.15055317,15.05975827,14.04472675,NA
"ALGERIA",1096.90137,1008.860274,982.9972603,1075.259563,1151.849315,1231.052055,1224.167123,1105.907104,1002.032877,986.630137,961.260274,1014.440325,1036.071233,1072,1071.320548,1045,1105.586301,1180.068493,1170,1201.612022,1310.164384,1286.287671,1301.369863,1396.734973,1430.191781,1431.041096,1376.958904,1435.587432,1507.479452,1623.835616,1789.890411,1856.934792,1930.027384,1917.468014,1942.263521,1954.481,1909.823112,1880.8924,1862.5645,1875.039769,1762.789322,1721.8256,1798.1049,1698.432256,1632.869525,1576.786934,1570.104304,1404.306744,1415.129339,1473.030681,1444.291046,NA
"AMERICAN SAMOA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ANGOLA",162,169,165,108,194,131,147,150,130,122,177.0054795,208.0245902,231.0000795,282.0002986,360.0001863,452.0081967,455.0003178,475.0005123,500.0002219,526.3200464,503.939726,491.7589041,639.3123288,691.0163934,709.7863014,732.8986301,747.8134247,745.3879781,739.2849315,896.6363425,879.0602356,990.2883306,1255.026608,1425.536786,1727.44877,1960.226508,1886.364219,1918.072548,1765.134438,1796.58018,1814.168534,1755.945438,1828.000014,1796.777754,1708.354531,1637.116441,1488.932374,1284.13903,1150.417404,1185.254399,1174.422203,NA
"ANTARCTICA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ANTIGUA AND BARBUDA",NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
"ARGENTINA",NA,NA,NA,NA,NA,NA,NA,508,513,507,504,498,485,471,472,492,496,521,529,597,640.0082192,720.551,775.5500356,838.7026995,892.9643836,905.3899808,894.8070603,862.8231038,918.6981753,895.3786329,876.6972603,888.3244399,830.3295288,831.1796301,802.6279151,804.5547268,786.124089,786.8620644,742.2983945,720.722118,704.9671288,713.0421055,705.2630425,705.0372634,686.3095116,704.8591449,723.059323,656.8417082,708.5545346,787.2274929,819.018804,NA
"ARMENIA",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,NA
