"Country","2023","2022","2021","2020","2019","2018","2017","2016","2015","2014","2013","2012","2011","2010","2009","2008","2007","2006","2005","2004","2003","2002","2001","2000","1999"
"ARGENTINA",819.018804,787.2274929,708.5545346,656.8417082,723.059323,704.8591449,686.3095116,705.0372634,705.2630425,713.0421055,704.9671288,720.722118,742.2983945,786.8620644,786.124089,804.5547268,802.6279151,831.1796301,830.3295288,888.3244399,876.6972603,895.3786329,918.6981753,862.8231038,894.8070603
"AUSTRALIA",408.302001,436.041357,460.1342705,475.1731504,475.3095396,364.669462,336.9518434,367.0325716,396.4672219,441.6777425,425.2743356,500.6534142,508.2969315,584.9621055,576.0445342,569.467812,567.5261205,560.6968219,543.5200767,573.1585874,618.1622192,717.1461096,738.7729151,802.4461475,616.762
"AUSTRIA",23.10377275,23.94635507,24.90202726,24.46700437,26.44211507,26.92270411,27.18664932,29.36100219,31.57499041,30.84496301,26.98200411,36.15533552,36.10133425,35.62571781,27.5462,27.71430164,28.04171233,26.1953589,25.38070411,26.38026776,20.40547945,21.72054795,20.83013699,19.68142077,19.16712329
"BELGIUM",24.93928079,24.60582958,24.79236143,23.6427,24.3528,18.8857,19.6025,19.9088,21.057,25.5009,20.984,20.2646,20.0665,21.1237,10.9045,10.7599,11.224,11.914,8.691,10.688,NA,NA,NA,NA,NA
"BRAZIL",4281.781027,3810.266189,3689.549811,3767.539011,3659.460139,3412.790656,3356.215654,3219.38208,3170.192264,2954.471433,2697.273262,2655.851935,2687.041653,2714.30939,2554.200047,2429.43031,1895.933534,1863.853005,1756.605677,1584.547093,1548.223647,1499.033715,1336.329485,1268.056689,1129.351074
"CANADA",5763.264955,5693.533535,5537.451003,5234.650102,5477.585795,5348.14556,4946.555156,4576.81882,4493.867162,4378.22067,4056.852488,3842.119036,3583.716571,3429.993474,3308.373718,3345.175097,3492.692685,3382.959641,3202.293929,3158.525459,3003.465178,2858.159321,2727.953578,2721.541634,2603.830929
"CHINA",5261.236086,5117.647527,4964.475354,4828.245994,4825.03585,4706.352145,4688.22272,4838.198455,5103.410151,4982.802595,4840.534912,4707.142517,4616.179716,4557.519474,4196.292307,4169.733267,4028.708868,3930.162238,3856.439288,3756.644986,3402.269625,3352.296463,3290.205964,3260.871844,3203.404205
"COLOMBIA",808.0599319,784.9995885,767.5322711,812.2474289,916.4082891,892.9452643,884.3143851,914.9251536,1034.178438,1015.185547,1032.289732,973.4439721,937.4966507,804.6706658,689.3770562,603.3667109,546.5745151,542.2927178,538.6226685,538.3320301,545.3318575,580.1444575,605.9923178,688.1857923,820.4654767
"EGYPT",666.3163873,666.6487442,659.8219063,681.5823172,716.8338123,729.812823,711.5735258,685.4975137,717.4431644,707.0174521,707.3573836,704.8338197,702.2116438,694.9824247,680.2043288,668.9829071,658.078863,641.0235726,641.6489753,740.2960328,714.5203178,697.9362767,701.3217205,711.2113525,838
"FINLAND",16.82755686,16.61781569,16.73502355,16.0127,16.4589,16.2243,16.0481,9.3942,16.5121,16.245,15.199,14.0008,12.9023,14.7762,8.2552,8.362,9.789,10.111,9.171,9.155,NA,NA,NA,NA,NA
"FRANCE",106.9271975,106.4817654,107.9123999,105.5583306,99.63383575,116.3632238,110.2771851,106.204289,122.8958329,120.9454863,119.0561397,117.8228661,121.271837,126.4947315,69.55148493,75.0559,73.44918356,80.99742192,84.82229863,88.55348634,38.94263014,37.93161096,39.9727863,43.58504098,42.11794247
"GERMANY",185.2435463,185.2228617,188.7047878,185.5801208,162.1298595,169.2988294,165.9146009,172.4824372,186.4336137,193.9047712,198.5905836,203.2896,210.3131,205.3683,148.3562068,152.0152672,143.9851397,157.0709315,145.7412548,167.8761749,94.61652329,91.23853425,85.53984384,85.82327049,75.4411589
"HUNGARY",40.16651315,39.27881093,39.30469505,37.04590437,39.52169589,39.73092192,38.44027808,36.66363333,33.1453,30.01249041,35.3886,33.85487158,30.72528219,34.62242329,34.6990589,37.53333497,33.06520822,37.61134247,37.76809589,46.99938798,43.56457808,37.72877534,39.16165479,38.87650273,39.26694521
"INDIA",912.1467298,920.3791153,905.3633125,885.9262232,957.0704353,985.6854096,986.1620798,980.6698393,994.5459342,990.3166219,993.5948932,998.6838142,992.0966603,951.4215493,867.793811,873.7709328,893.5561808,866.692589,832.5126164,849.7867951,800.9086164,794.5258219,768.0077123,769.9690492,771.0301534
"INDONESIA",881.2357216,833.668177,858.0648493,894.6906984,916.7774795,909.4651493,893.7166397,940.9991186,861.9437438,909.1904,927.056789,957.2503279,985.2394205,1013.360741,1001.656748,1022.958552,984.736,1035.245,1099.906753,1119.739,1175.688,1280.288567,1375.502,1447.447,1540.487
"IRAN",3992.47854,3660.556671,3457.531642,2990.473598,3281.936508,4558.912281,4779.400744,4438.250367,3555.551937,3486.822741,3354.36513,3594.787727,4266.265288,4271.964499,4177.604115,4177.480909,4365.406507,4260.255329,4198.72046,4168.41329,3958.739745,3509.843836,3775.024658,3759.699454,3572.150685
"ITALY",151.6989361,131.3605042,146.7919775,152.2288519,123.5097712,143.1357808,128.7358205,142.8987634,181.3312589,175.6958712,181.0267425,151.8888131,156.7248822,166.5125795,139.6970123,162.3997486,162.4156027,158.244263,160.7713836,152.869112,90.42191781,84.87668493,64.16438356,77.97545628,86.14247397
"JAPAN",102.5879659,100.949399,103.5730304,95.94632732,101.2574274,98.15813973,102.9029534,95.86183279,110.8834753,107.5159849,110.5149534,106.1802372,114.4336315,123.3259096,121.9766658,129.3512383,132.5565863,128.9545452,128.6466548,123.3892678,16.89315068,14.73150685,17.73972603,17.47213115,17.06849315
"KAZAKHSTAN",1957.422987,1829.3171,1863.563248,1859.555786,1965.877634,1965.466827,1879.225136,1697.516454,1750.679411,1719.022647,1657.654933,1605.00361,1636.886285,1608.09836,1540.768759,1430.716317,1420.383077,1366.632663,1297.012542,1247.088393,1064.826033,975.9779562,822.2519836,717.7861612,612.6549945
"MALAYSIA",597.1912496,602.6175687,608.6511466,655.542492,711.4266623,753.6529097,754.2847926,756.8867262,724.4397822,670.8242425,644.5055205,672.5986093,667.4353411,731.371574,718.0353096,759.3989809,751.7960932,749.6182192,790.8508356,803.5842295,832.9543233,804.4620849,756.149263,711.2865246,731.837
"MEXICO",2119.326228,2030.006079,1969.014066,1946.186339,1918.370701,2074.197923,2245.236012,2478.10068,2615.571618,2813.745173,2907.736407,2934.982157,2955.386274,2974.818644,2996.855584,3185.621225,3506.83966,3716.271151,3789.621162,3857.691757,3796.948244,3592.43317,3565.17891,3452.022484,3368.603575
"MOROCCO",0.025,0.025,0.025,0.05,0.07,0.1,0.025,0.16,0.5586,0.0836,-0.526,-0.781,-1.55,-0.613,-0.48,-0.566,-1.342,-1.247,-1.05,3.89,0.236,0.13,0.216,0.279,0.258
